"","CLDN18","cMET","HER2","EGFR","TROP2"
"TCGA-2H-A9GR-01A-12R-A37I-31",10.1890119950351,6.7355506680617,6.62413299029834,9.31075315354304,8.03205927579824
"TCGA-JY-A6FB-01A-11R-A336-31",11.8154123176711,6.54590774254251,9.22031365720363,5.91182137134797,8.184649809116
"TCGA-LN-A7HW-01A-22R-A354-31",-0.664005791405953,6.29229239770558,4.88977458793878,7.06413336715837,8.74477652145282
"TCGA-VR-A8EW-01A-11R-A36D-31",0.87532317331306,5.37616548768993,6.43036552162234,6.988179837604,10.4122426549787
"TCGA-L5-A4OP-01A-11R-A260-31",-1.75710071555673,6.91767683472882,7.32247030776812,5.90660386373041,6.95880439111734
"TCGA-V5-AASV-01A-11R-A38D-31",3.57839090358476,5.85154423951457,6.95548321588701,7.14261007979169,9.24133976748904
"TCGA-JY-A6FA-01A-11R-A336-31",-0.480259883170451,5.00132361466213,6.66715676646558,6.70960270553916,10.8899938836425
"TCGA-KH-A6WC-01A-11R-A336-31",-2.32192809488736,3.09548665761323,7.00480924313135,5.73360086910393,10.8896202124006
"TCGA-LN-A8I1-01A-11R-A36D-31",-2.32192809488736,5.01514084983857,5.54883533654765,6.32153602402115,10.2298102278964
"TCGA-IG-A4P3-01A-11R-A260-31",2.7647664203437,5.54862433193252,6.57420189804404,6.66245967916693,10.7512213429473
"TCGA-2H-A9GL-01A-12R-A37I-31",9.4835683602268,6.90746088321927,4.03205189168105,6.16079761677026,7.35944211461699
"TCGA-2H-A9GK-01A-11R-A37I-31",11.9215155884039,5.94791334011568,5.96166915597789,4.46248462907269,9.08732875374284
"TCGA-R6-A6L4-01A-11R-A31P-31",-1.81954168397078,5.63082144739312,6.41688574182329,5.71721847399514,10.1330488651989
"TCGA-IG-A5S3-01A-11R-A28J-31",-0.301439886078681,4.07706594558893,6.0698033116869,8.79810108796121,9.17247635224437
"TCGA-LN-A5U5-01A-21R-A28J-31",2.1709742302109,6.06887595322121,5.35822175688798,6.32658909493136,9.7974280422427
"TCGA-LN-A4A5-01A-21R-A260-31",1.33141339025002,7.2303020764292,6.34215457248686,7.72929477908267,9.62904167515967
"TCGA-L5-A8NJ-01A-11R-A36D-31",2.93334374122783,7.06145184152698,11.5043253103073,5.46544981916459,8.22710593306124
"TCGA-R6-A6Y0-01B-11R-A336-31",3.93810265877969,4.90584004651945,6.92882332501255,5.53400155513994,11.0527859211077
"TCGA-S8-A6BV-01A-21R-A31P-31",9.99632574630796,5.81984049983862,5.85283948673316,6.11238740362921,8.98893147288079
"TCGA-XP-A8T8-01A-11R-A36D-31",0.706812706516705,5.81190598408341,6.42341196469037,7.90486006512414,10.795917034184
"TCGA-2H-A9GJ-01A-11R-A37I-31",10.2923427842223,6.46036760439469,7.29826827518243,5.36651606574759,7.38294980077941
"TCGA-IG-A50L-01A-11R-A260-31",-0.949225107680899,6.96435292506635,5.0706093441161,9.23305065017316,9.93121973294902
"TCGA-V5-A7RE-01A-11R-A354-31",9.09209192098676,7.50247875425994,10.5961702651547,5.12967390649105,8.47178538749511
"TCGA-L5-A891-01A-11R-A36D-31",-1.05776198785805,6.13062647415291,6.11699810657797,4.28353174671371,9.54636587054261
"TCGA-2H-A9GF-01A-11R-A37I-31",3.2134662730583,6.38211744797291,12.5322706617953,5.36031850999695,9.58650802680657
"TCGA-R6-A8W5-01B-11R-A37I-31",8.65387515902574,6.25813776016512,12.0002262937103,4.11017318306598,8.28505247752517
"TCGA-LN-A49Y-01A-11R-A260-31",1.5141064791525,5.29363880341599,5.40618951145087,9.67824100693273,10.3612856620455
"TCGA-R6-A8WC-01A-11R-A37I-31",2.68379299693526,7.71886387993063,10.7732073429141,5.57010543010123,8.18030305205333
"TCGA-LN-A9FR-01A-11R-A38D-31",0.550425971364514,7.06901982808878,5.1650999524719,8.5659506400457,10.0654464293038
"TCGA-LN-A7HZ-01A-31R-A354-31",-1.97771757210758,3.70900558308388,4.55073387823431,5.04563077171825,8.7329601370852
"TCGA-LN-A49O-01A-11R-A24K-31",-1.92712035266558,7.44064019363452,4.92492940154543,8.97988479542348,9.81733580361426
"TCGA-VR-A8ER-01A-11R-A36D-31",-2.2307179687468,5.25299524439207,5.52846827531396,6.56179820935147,10.5964756932766
"TCGA-IG-A8O2-01A-11R-A36D-31",1.14338366948907,5.19904277777408,6.20720748741987,5.84525355204687,10.598247438529
"TCGA-L5-A4ON-01A-11R-A260-31",9.33536100116733,6.59494297788845,7.09485613556912,6.30019425572696,7.2135229183558
"TCGA-L5-A88Y-01A-11R-A354-31",8.98423058345518,5.82068829603905,6.56608262872301,6.41906693207188,8.95364575114349
"TCGA-2H-A9GO-01A-11R-A37I-31",11.0143352701176,5.04084512451456,6.12598999887349,4.61653630832432,7.66289045160511
"TCGA-LN-A5U6-01A-11R-A28J-31",2.60852558848346,6.85192697024931,5.15517530095003,8.09402301770687,10.0402342498028
"TCGA-L5-A43C-01A-11R-A24K-31",6.71137895382367,4.25410360595492,4.57358057424964,4.52841875602111,9.38785636315118
"TCGA-L5-A4OJ-01A-11R-A260-31",11.1939761994233,7.14726538234386,6.73204433952245,11.2527583827134,6.99172776218754
"TCGA-LN-A4A3-01A-11R-A260-31",0.0493499607345472,5.75944501147682,6.06674852848753,10.3672086197705,9.50130293618962
"TCGA-LN-A4A8-01A-32R-A260-31",-1.76123434544915,5.6753584762265,7.86318275397704,11.6624108773826,9.1109392497985
"TCGA-IC-A6RE-01A-11R-A336-31",7.17477282307481,6.24752762537189,8.27255314904626,5.078360410063,6.23973284307354
"TCGA-LN-A9FO-01A-11R-A38D-31",1.04877577864574,5.4080197270488,5.23602798339057,7.37694879438963,9.05379063451138
"TCGA-IG-A625-01A-11R-A31P-31",0.234446738293,5.96794585535977,5.79808986426647,6.95685184589809,11.6419357341303
"TCGA-JY-A6FE-01A-11R-A336-31",0.119352735132267,7.61847033013724,5.66340314634037,4.97754290201898,4.71865179511874
"TCGA-L5-A88Z-01A-11R-A36D-31",-2.06483111330185,4.01669298060863,6.65655098811063,6.00706844459143,9.69977309265906
"TCGA-XP-A8T6-01A-11R-A36D-31",-0.895389148818756,5.9344886386793,6.95946269144509,6.5758891282349,11.823078592701
"TCGA-V5-A7RB-01A-11R-A354-31",3.71706512953954,5.80449548091918,7.19185639918677,6.56148985682924,8.96519479183514
"TCGA-L5-A8NU-01A-11R-A36D-31",10.2802972565826,5.57179194261742,5.59277521851994,4.15165152835739,7.75241645945916
"TCGA-VR-A8EZ-01A-11R-A36D-31",2.86774037071957,5.79640884336584,3.69317276397704,5.16711818316579,8.3144945828182
"TCGA-LN-A49U-01A-31R-A260-31",0.710165530070602,6.65532943277617,5.95916402788143,7.81511454562631,8.56622787270446
"TCGA-IG-A51D-01A-11R-A36D-31",1.24409822829502,5.34335988392645,5.99077122167621,7.64512704440191,9.02000305369924
"TCGA-V5-AASX-01A-11R-A38D-31",9.64999150130734,7.63459094960869,7.99709709466916,5.99287504768912,6.02501154208357
