"","CLDN18","cMET","HER2","EGFR","TROP2"
"TCGA-VQ-AA6D",7.29367019337794,6.01075925166843,8.95634817834952,3.95938824533611,7.64572169935508
"TCGA-CG-5717",6.05995856059299,4.54158093662606,6.82993455966579,5.74174797883259,11.3570740406854
"TCGA-R5-A7ZF",2.63545461223437,7.52944252803987,5.81430199415754,5.8865916622947,10.089037846966
"TCGA-D7-6520",3.3141974509124,6.2197659411274,7.54028259260181,5.08466031493257,8.00257708026751
"TCGA-HU-A4HD",1.8012360665338,5.9303841612435,12.0896786916841,5.40128702686991,8.90134416751173
"TCGA-VQ-A91Z",1.88170999562176,4.82975108405799,7.75727827306633,1.08898120348078,9.84677424567935
"TCGA-BR-A44U",0.533850150255681,6.51765100180951,10.2759394211124,4.63963074466312,9.07991342663491
"TCGA-CG-4441",9.63666218981876,6.24592482726497,6.69508100402477,5.03186733593407,8.08949297637132
"TCGA-MX-A666",5.93106308533948,5.82522402314052,6.9406687779189,5.04450404194694,6.74195763364112
"TCGA-BR-4368",8.04456626771125,8.37756468633264,6.17142249538616,5.39324354426164,6.70331649207013
"TCGA-BR-4280",2.68714741674265,6.23427120186963,6.61914463632952,5.05985023433293,0.902503629913983
"TCGA-VQ-A8P3",1.96753054375697,6.64557952860795,6.37646631655506,5.49720767672493,6.7099263585702
"TCGA-VQ-A8PO",4.31559284936588,6.04533717582639,6.60110370233331,4.8586047470657,2.12686280943845
"TCGA-BR-8678",-2.32192809488736,4.46982205431106,6.16926496219967,0.768317174457555,7.89266376736618
"TCGA-FP-A9TM",10.7806063266777,6.57716670424233,6.5128327260586,5.42613274898997,8.51411943774804
"TCGA-KB-A93J",11.6381017326632,5.29080680932856,7.11031064186481,5.41492206115242,8.68605046213312
"TCGA-HU-A4GX",8.28428439857332,4.94898481796244,6.3013924414791,5.53345011457035,4.27832142463355
"TCGA-CG-4443",-1.17708198886714,6.55896527479286,7.07531836719561,1.07281587100414,6.24228133533822
"TCGA-R5-A7ZR",11.3754033883158,5.65043127940769,6.3441710935138,3.71537699628221,8.21380336697997
"TCGA-BR-8365",8.25794557738422,8.20460948648409,5.85081395544585,6.11329530692341,4.57677274067471
"TCGA-BR-8484",11.8650402488232,6.04013889619194,6.21378399418064,4.82746467947949,7.23431906269448
"TCGA-IN-8663",-2.32192809488736,7.10927008626583,6.39636086057074,7.51496988288313,10.654888598915
"TCGA-BR-8483",-0.803359641221401,6.43861440943559,12.2543858145571,5.19548836562131,8.88781498877071
"TCGA-VQ-A8PD",10.6604814833331,6.43720097212645,6.49180137193841,5.226552818103,8.73527311272804
"TCGA-BR-6705",8.49696754337872,5.34830109312523,5.6055989608101,4.8697775833938,7.2207089309937
"TCGA-VQ-A91K",9.49902678973364,6.29178095947993,7.67883257631262,6.04294544394393,10.0580385701828
"TCGA-B7-A5TJ",8.54232798816713,6.18391154004564,6.52942536155566,5.2114370612661,8.91189475816906
"TCGA-BR-8058",11.144841155369,5.88601256434085,5.96981029365775,4.79257046197406,7.30621408069813
"TCGA-HU-A4H3",2.10102597771622,5.94961409460167,7.40200216899054,5.23825301796226,0.180964674336035
"TCGA-BR-8380",1.09496653694643,4.81176040616007,6.22028257706576,6.33978461943526,1.38579776815271
"TCGA-FP-7916",10.5528008236419,6.39547980029247,6.51249040483584,4.13998826587981,9.39297012850612
"TCGA-BR-8368",5.16462066899551,4.89829333961162,6.6624860437933,4.48171859382333,0.47595599264903
"TCGA-CD-5798",8.71356686117074,6.53332309087195,5.92463910559993,4.50928597099597,8.00110546623993
"TCGA-BR-4253",10.772286518725,6.7628440042996,5.12538556898047,3.83599991537157,7.84568802648745
"TCGA-HU-A4GU",-1.32410900759404,5.77619277540227,7.16349154610578,4.14983776412044,8.10741214718701
"TCGA-BR-7197",4.74341597754361,5.72567514397278,6.49776461960461,4.75476174668588,7.8429581042523
"TCGA-BR-8080",6.49053052612512,5.53089215807057,5.63862640517866,5.11152466029843,8.10626531465
"TCGA-D7-A6EV",11.3281949166734,6.98981341250203,8.32400014814191,5.11210629163539,8.73009165800203
"TCGA-VQ-A94U",9.02290283468174,5.65758295043656,6.19573946482485,5.14747891672328,8.21965067091255
"TCGA-VQ-A927",10.7067424107362,6.38547373441999,6.67358500679708,5.15864071595455,7.99410664603391
"TCGA-CG-5716",10.9014663029989,5.22494928961535,5.96729361941783,3.96097042818831,6.82313613557066
"TCGA-RD-A7BT",7.21155542121125,5.97644486253541,11.683869704589,4.17607720391977,4.72254583947674
"TCGA-BR-8676",10.5194709278514,3.74215810848838,4.52744866921783,1.43301874362828,7.37330620776772
"TCGA-VQ-A8PJ",12.3240021827381,5.61042911068318,12.3559270132503,3.75300303778701,8.97537592904843
"TCGA-HF-7132",9.26954657646505,5.334514281445,7.04539935174684,5.02953096751019,7.49553453487225
"TCGA-D7-6815",7.21842777312616,6.34334488280962,9.46183246508339,5.24894661430516,8.23785633275781
"TCGA-CD-A48C",10.3601801387472,6.5840771429926,5.33317336508712,4.57893848153848,8.63344085655272
"TCGA-VQ-AA6G",9.87573318534769,7.22165736516007,12.4167285024476,5.2676348676084,8.78874825933482
"TCGA-BR-8060",6.91980794101591,4.93801467435654,3.03494434232756,3.91173040041381,1.01918270068895
"TCGA-RD-A7BS",8.4400155884157,6.46952096778751,5.9851117408542,4.94522822076448,10.2744548024767
"TCGA-VQ-A94P",5.20387885373017,4.5485789121304,4.94065259809046,5.02702937597125,5.40254662826621
"TCGA-BR-7723",2.80558987678292,4.70089501204534,6.22537129445256,3.73497847020282,4.96186831413757
"TCGA-BR-6455",11.3943389495809,5.5878587589702,5.28190063734012,3.70269866874598,8.93652876447204
"TCGA-CD-A486",7.71462724081411,3.38417289496718,6.58716882240176,6.20316723629515,8.58751052032606
"TCGA-BR-4201",4.83804650218961,5.35374275487621,5.74900743505543,4.62497990444503,8.49437149912507
"TCGA-IN-AB1V",8.45294986086079,5.31695632284763,7.70505986403884,6.22705717212682,11.0903086743376
"TCGA-VQ-A8PP",3.05503206651606,7.41615543916947,7.96661997008698,5.90623627008716,8.83151130311728
"TCGA-D7-8576",11.3226378929846,10.7853291189707,6.57999779627695,4.00177558105647,8.35774879526928
"TCGA-CG-5723",3.93571004126658,5.8188347832178,4.58488803357338,4.09686852290672,6.66791540857468
"TCGA-BR-6802",7.60598547058586,7.83789658210405,6.28341492395407,4.91025788308736,5.45701455419977
"TCGA-D7-A6F2",8.34466302172082,6.36836682376225,7.44670840213892,5.36040464646684,8.51279409392976
"TCGA-CD-8527",5.02859716408236,5.29870450791306,5.86820612501675,4.00832562556101,8.5475222359913
"TCGA-CG-4476",10.2575272092045,6.0783762935975,6.11920785637614,5.7117441400862,7.65858858057265
"TCGA-CG-4436",6.39861967082914,7.08307210203857,5.68603589543608,4.55578158179378,4.85268688081232
"TCGA-VQ-A8PU",11.7807897151801,6.56144151181878,7.17384439264886,5.4122747955557,8.3016999151432
"TCGA-IN-7808",-0.24153637839857,4.2801814032123,3.92430090647506,3.77863609260314,3.7497345709488
"TCGA-BR-4187",1.11712873556434,5.89904562231087,5.60580947291006,5.24538839338901,5.58912003890676
"TCGA-IN-A6RN",10.9922145861265,4.400890399324,6.20173344256693,4.54662796884177,8.06572677737478
"TCGA-BR-6457",8.91774038046145,4.13539301208882,6.19573430384962,4.90447201531652,7.34261657246791
"TCGA-BR-6453",5.78010744808872,4.25448635031131,5.79698285557617,3.58914074206657,5.06246370477048
"TCGA-BR-6709",0.340659371397665,6.48872850129498,5.02802290512099,5.56208218772387,2.29197304325299
