"","TROP2","CLDN18","HER2","cMET","EGFR"
"TCGA-IB-7644-01A-11R-2156-07",9.46512129617876,11.3422607319487,7.61900437102885,7.10733986524182,4.38054625808552
"TCGA-IB-A5SQ-01A-11R-A32O-07",9.92466308084332,1.89255069995484,5.79514485752974,6.08372397152385,4.35299675835014
"TCGA-IB-7646-01A-11R-2156-07",9.23209742655983,1.67117670324096,6.52809152244917,8.44818113127886,6.21144156996561
"TCGA-H6-A45N-01A-11R-A26U-07",9.05737613965924,7.29950398410773,6.55725652470962,5.65123506676073,4.61720401445073
"TCGA-3A-A9IC-01A-11R-A38C-07",9.59937920291402,6.43793406503251,6.65813911378981,5.45888735483825,3.32901044994011
"TCGA-3A-A9IU-01A-11R-A39D-07",11.5423450286115,5.90801945964311,7.19890161668209,7.8593958322178,4.75739936756761
"TCGA-IB-7889-01A-11R-2156-07",9.49528080379651,7.75922204298976,6.57956782922862,6.04815842098051,4.48309198328881
"TCGA-H6-8124-01A-11R-2404-07",10.2126396602672,6.20721689911416,6.55062308886335,7.57311600589162,5.73707904890822
"TCGA-2L-AAQL-01A-11R-A38C-07",9.10420117270395,9.6247208766089,7.85283566449475,5.16719409648213,3.40667280619903
"TCGA-S4-A8RP-01A-11R-A36G-07",9.56510374039529,8.92545892003016,7.1837763675676,5.71658565837045,4.77903037828406
"TCGA-FB-AAPY-01A-11R-A41B-07",9.45861231176466,9.28199081881811,6.72326740860783,5.34811478198426,3.92892994303896
"TCGA-3E-AAAY-01A-11R-A38C-07",8.99545819089046,8.56536097227493,6.65026924877353,5.61767597083485,4.12127649468773
"TCGA-IB-A7LX-01A-12R-A36G-07",9.98565084343727,-1.24873569404367,7.26016295887682,7.02804442583022,5.72305485045056
"TCGA-2J-AABE-01A-12R-A41B-07",9.99815105200638,9.30884490362156,7.05613039705256,6.18877696920112,4.15442998105099
"TCGA-FB-A545-01A-11R-A26U-07",10.170174174642,7.49441515565475,6.60456827438051,8.31012037592936,5.15339817057414
"TCGA-IB-7649-01A-11R-2156-07",8.03535622280852,9.01848002587623,6.2081388607491,6.13262942971259,4.87273468600653
"TCGA-IB-7651-01A-11R-2156-07",6.34695437167348,4.64158370589826,5.63948786166331,6.78062478848112,4.42930487468882
"TCGA-F2-7276-01A-11R-2156-07",8.67353456910355,5.92899839192095,5.80389508624403,5.47163732169702,5.22969171035828
"TCGA-IB-7893-01A-11R-2204-07",8.29159975521737,7.89028465625222,6.03264723808922,7.47968632422222,5.43735586581206
"TCGA-2L-AAQA-01A-21R-A38C-07",4.43459023702873,11.8227420096469,8.01469265118657,6.01609788580408,4.22718863779706
"TCGA-2L-AAQI-01A-12R-A39D-07",9.37357088516778,9.07039653642406,6.74177680984941,6.72166290702269,4.82682493540355
"TCGA-2J-AAB1-01A-11R-A41B-07",9.66369825276468,10.4875600427622,7.33000183641151,6.15924972646797,4.81529582228415
"TCGA-2J-AAB8-01A-12R-A41B-07",8.91860219954445,9.16124879384693,7.43100528090436,6.1226379034717,4.77198394860972
"TCGA-FB-AAPQ-01A-11R-A41B-07",7.88522016102464,11.1199985920234,5.54669043034453,6.51408386742354,3.85860258156705
"TCGA-2L-AAQJ-01A-12R-A39D-07",9.91329015698556,11.2237320854229,7.54375351432154,6.53461080278145,4.29618968736166
"TCGA-HZ-A77Q-01A-11R-A36G-07",9.99742547514598,5.63172458583677,6.02622111740051,5.90860832738873,4.22609514944253
"TCGA-2J-AABK-01A-31R-A41B-07",9.05748847389523,8.24171861032685,6.58141100624918,5.58218304341383,4.26213837885388
"TCGA-IB-7887-01A-11R-2156-07",9.80285537244559,4.71642000188249,7.00369919557858,6.60490237884638,5.05316185934676
"TCGA-HZ-A8P1-01A-11R-A37L-07",8.47888386507467,9.87630054888255,6.90586322397946,5.87775984410503,4.16102860091148
"TCGA-2J-AABH-01A-21R-A41B-07",9.85890451826382,10.8790186740029,6.69542124109053,6.57700736986262,4.919351359796
"TCGA-IB-A7M4-01A-11R-A36G-07",10.0965327380085,8.42099378815039,6.14895412683566,7.14469182446799,5.50783097154411
"TCGA-IB-AAUU-01A-11R-A37L-07",9.83751653828288,9.86591596278121,7.02987844772495,6.58435830077934,4.73093100493165
"TCGA-IB-A5SP-01A-11R-A32O-07",9.57021311006636,10.903414420104,6.94520539919328,5.9637766386541,4.68904994233966
"TCGA-M8-A5N4-01A-11R-A26U-07",9.96676621426206,9.36517795603566,6.90199850957397,7.57625345030568,5.01773543570032
"TCGA-HZ-8519-01A-11R-2404-07",6.35624438202027,0.187333310999104,5.29929027333683,5.09925497362868,4.44337803147151
"TCGA-IB-A5SO-01A-11R-A32O-07",9.16838041053927,7.75717687730358,6.45773893745423,5.52858507209068,4.29576422129703
